points,direction,correction
"[[357.140625, 26.0], [358.421875, 27.0], [359.8125, 27.0], [0.453125, 28.0], [1.859375, 28.0], [316.25, 21.0], [317.578125, 21.0], [318.34375, 21.0], [320.234375, 21.0], [321.546875, 21.0], [322.890625, 21.0], [323.140625, 21.0], [325.53125, 21.0], [326.359375, 21.0], [329.53125, 21.0], [331.09375, 22.0], [332.171875, 22.0], [332.15625, 22.0], [334.8125, 22.0], [334.796875, 22.0], [337.46875, 22.0], [337.71875, 22.0], [339.359375, 22.0], [341.453125, 22.0], [342.640625, 23.0], [344.09375, 23.0], [345.421875, 23.0], [345.71875, 23.0], [347.4375, 24.0], [348.328125, 24.0], [349.96875, 24.0], [351.484375, 24.0], [352.625, 25.0], [353.234375, 25.0], [353.734375, 25.0], [354.921875, 26.0]]",2.0,48.0
"[[357.59375, 26.0], [359.046875, 27.0], [359.28125, 27.0], [0.9375, 28.0], [1.828125, 28.0], [3.796875, 29.0], [4.875, 29.0], [44.96875, 389.0], [315.40625, 21.0], [316.734375, 21.0], [318.0625, 21.0], [319.28125, 21.0], [320.734375, 21.0], [322.0625, 21.0], [323.40625, 21.0], [324.3125, 21.0], [324.8125, 21.0], [330.109375, 21.0], [331.4375, 21.0], [332.78125, 22.0], [332.59375, 22.0], [335.4375, 22.0], [335.703125, 22.0], [337.328125, 22.0], [339.4375, 22.0], [340.78125, 22.0], [340.390625, 23.0], [343.453125, 23.0], [344.65625, 23.0], [344.53125, 23.0], [347.453125, 23.0], [346.90625, 24.0], [348.421875, 24.0], [349.984375, 24.0], [351.3125, 25.0], [352.3125, 25.0], [353.21875, 25.0], [355.1875, 26.0]]",315.0,45.0
"[[356.8125, 26.0], [358.25, 27.0], [359.046875, 27.0], [0.546875, 28.0], [1.765625, 28.0], [2.65625, 29.0], [315.21875, 21.0], [315.671875, 21.0], [317.875, 21.0], [319.203125, 21.0], [320.53125, 21.0], [320.546875, 21.0], [322.5625, 21.0], [323.609375, 21.0], [325.84375, 21.0], [328.6875, 21.0], [330.21875, 21.0], [332.5, 22.0], [333.828125, 22.0], [335.15625, 22.0], [336.484375, 22.0], [337.8125, 22.0], [339.140625, 22.0], [339.71875, 22.0], [342.046875, 23.0], [341.453125, 23.0], [343.890625, 23.0], [343.875, 23.0], [345.71875, 23.0], [346.875, 24.0], [348.203125, 24.0], [349.21875, 24.0], [352.15625, 24.0], [353.234375, 25.0], [352.8125, 25.0], [354.796875, 26.0], [355.4375, 26.0]]",330.0,75.0
"[[357.046875, 26.0], [358.21875, 27.0], [359.578125, 27.0], [0.71875, 28.0], [1.5, 28.0], [44.953125, 389.0], [315.90625, 21.0], [317.21875, 21.0], [318.5625, 21.0], [319.890625, 21.0], [321.21875, 21.0], [322.546875, 21.0], [323.046875, 21.0], [325.203125, 21.0], [325.3125, 21.0], [330.53125, 21.0], [331.859375, 22.0], [332.3125, 22.0], [333.265625, 22.0], [334.4375, 22.0], [337.171875, 22.0], [337.46875, 22.0], [338.125, 22.0], [341.15625, 22.0], [342.0625, 23.0], [342.4375, 23.0], [344.34375, 23.0], [344.765625, 23.0], [347.796875, 23.0], [347.453125, 24.0], [348.578125, 24.0], [350.515625, 24.0], [351.109375, 25.0], [353.375, 25.0], [353.875, 25.0], [355.015625, 26.0]]",350.0,55.0
"[[356.546875, 26.0], [358.25, 27.0], [358.765625, 27.0], [0.359375, 28.0], [1.609375, 28.0], [2.578125, 29.0], [316.0, 21.0], [318.15625, 21.0], [319.5, 21.0], [319.8125, 21.0], [322.15625, 21.0], [323.484375, 21.0], [323.703125, 21.0], [326.140625, 21.0], [330.140625, 21.0], [331.484375, 21.0], [332.796875, 22.0], [333.34375, 22.0], [335.453125, 22.0], [336.046875, 22.0], [337.359375, 22.0], [339.4375, 22.0], [339.25, 22.0], [340.40625, 23.0], [343.4375, 23.0], [342.96875, 23.0], [345.140625, 23.0], [345.40625, 23.0], [347.078125, 24.0], [348.546875, 24.0], [349.609375, 24.0], [351.265625, 25.0], [352.5, 25.0], [353.0, 25.0], [354.921875, 26.0], [356.453125, 26.0]]",45.0,0.0
"[[356.5, 26.0], [358.171875, 27.0], [359.484375, 27.0], [0.71875, 28.0], [2.328125, 28.0], [315.671875, 21.0], [315.71875, 21.0], [318.3125, 21.0], [319.90625, 21.0], [320.71875, 21.0], [322.296875, 21.0], [323.625, 21.0], [324.953125, 21.0], [325.0, 21.0], [328.921875, 21.0], [331.65625, 21.0], [331.765625, 22.0], [334.3125, 22.0], [335.640625, 22.0], [335.9375, 22.0], [338.296875, 22.0], [339.625, 22.0], [339.234375, 22.0], [340.71875, 23.0], [343.609375, 23.0], [344.8125, 23.0], [344.453125, 23.0], [346.421875, 23.0], [348.921875, 24.0], [349.75, 24.0], [350.234375, 24.0], [351.15625, 25.0], [353.59375, 25.0], [354.796875, 25.0], [354.9375, 26.0]]",44.3,0.0
"[[356.609375, 26.0], [357.703125, 27.0], [358.375, 27.0], [359.671875, 28.0], [0.84375, 28.0], [2.328125, 29.0], [3.890625, 29.0], [43.015625, 396.0], [316.15625, 21.0], [316.625, 21.0], [319.234375, 21.0], [319.28125, 21.0], [320.546875, 21.0], [323.21875, 21.0], [323.640625, 21.0], [325.875, 21.0], [330.140625, 21.0], [330.109375, 21.0], [332.125, 22.0], [333.375, 22.0], [335.203125, 22.0], [335.4375, 22.0], [337.859375, 22.0], [338.109375, 22.0], [340.515625, 22.0], [341.4375, 23.0], [342.84375, 23.0], [344.5, 23.0], [344.15625, 23.0], [346.125, 23.0], [346.984375, 24.0], [349.0625, 24.0], [350.265625, 24.0], [351.328125, 24.0], [352.265625, 25.0], [353.171875, 25.0], [353.96875, 26.0], [355.28125, 26.0]]",10.0,35.0
"[[356.84375, 26.0], [358.125, 27.0], [359.296875, 27.0], [0.375, 28.0], [1.53125, 28.0], [44.828125, 396.0], [315.453125, 21.0], [316.78125, 21.0], [318.109375, 21.0], [319.3125, 21.0], [320.359375, 21.0], [321.671875, 21.0], [323.421875, 21.0], [323.6875, 21.0], [324.90625, 21.0], [330.078125, 21.0], [331.40625, 21.0], [332.734375, 22.0], [332.8125, 22.0], [335.390625, 22.0], [335.1875, 22.0], [338.046875, 22.0], [337.8125, 22.0], [339.59375, 22.0], [340.875, 23.0], [343.34375, 23.0], [343.203125, 23.0], [344.5625, 23.0], [347.328125, 23.0], [347.046875, 24.0], [348.4375, 24.0], [349.765625, 24.0], [351.078125, 25.0], [352.671875, 25.0], [353.84375, 25.0], [354.59375, 26.0], [356.796875, 26.0]]",352.54,53.0
"[[356.8125, 26.0], [358.109375, 27.0], [359.265625, 27.0], [0.15625, 28.0], [2.0625, 28.0], [44.875, 396.0], [315.1875, 21.0], [316.515625, 21.0], [317.84375, 21.0], [319.171875, 21.0], [320.515625, 21.0], [321.828125, 21.0], [323.171875, 21.0], [323.359375, 21.0], [325.828125, 21.0], [329.859375, 21.0], [330.390625, 21.0], [332.109375, 22.0], [332.84375, 22.0], [335.171875, 22.0], [335.515625, 22.0], [337.84375, 22.0], [337.703125, 22.0], [340.5, 22.0], [341.078125, 23.0], [341.640625, 23.0], [342.921875, 23.0], [344.546875, 23.0], [347.15625, 23.0], [346.96875, 24.0], [349.40625, 24.0], [349.765625, 24.0], [350.296875, 24.0], [352.78125, 25.0], [354.234375, 25.0], [354.875, 26.0], [356.5625, 26.0]]",17.0,30.0
"[[11.078125, 32.0], [12.828125, 31.0], [14.046875, 30.0], [14.984375, 29.0], [16.296875, 28.0], [18.21875, 28.0], [19.78125, 27.0], [21.015625, 27.0], [23.5, 26.0], [24.3125, 26.0], [25.234375, 25.0], [26.28125, 25.0], [28.234375, 24.0], [35.140625, 23.0], [36.46875, 23.0], [36.359375, 23.0], [38.703125, 22.0], [39.65625, 22.0], [41.828125, 22.0], [43.15625, 22.0], [44.484375, 22.0], [315.015625, 420.0], [317.671875, 433.0], [319.015625, 430.0], [320.34375, 426.0], [324.546875, 274.0], [325.84375, 274.0], [331.34375, 211.0], [335.5625, 163.0]]",0.0,-45.0
"[[9.0, 33.0], [10.53125, 32.0], [11.96875, 31.0], [13.84375, 30.0], [14.84375, 29.0], [16.53125, 28.0], [17.703125, 28.0], [19.859375, 27.0], [21.390625, 27.0], [23.140625, 26.0], [23.71875, 26.0], [26.546875, 25.0], [26.828125, 25.0], [29.703125, 24.0], [35.015625, 23.0], [36.34375, 23.0], [37.671875, 23.0], [39.015625, 22.0], [40.328125, 22.0], [40.65625, 22.0], [42.140625, 22.0], [43.640625, 22.0], [317.578125, 433.0], [318.890625, 429.0], [320.21875, 427.0], [324.390625, 275.0], [325.6875, 275.0], [331.15625, 214.0], [336.65625, 163.0]]",355.0,-50.0
"[[10.34375, 32.0], [12.5, 31.0], [13.671875, 30.0], [15.359375, 29.0], [16.984375, 29.0], [17.96875, 28.0], [19.96875, 27.0], [20.4375, 27.0], [23.25, 26.0], [23.734375, 26.0], [25.953125, 25.0], [27.171875, 25.0], [28.640625, 24.0], [33.578125, 23.0], [34.484375, 23.0], [36.90625, 23.0], [37.96875, 22.0], [40.25, 22.0], [41.578125, 22.0], [42.203125, 22.0], [44.28125, 22.0], [315.265625, 420.0], [316.609375, 424.0], [317.921875, 430.0], [319.265625, 430.0], [320.625, 426.0], [324.859375, 275.0], [326.171875, 275.0], [335.875, 164.0]]",359.0,-46.0
"[[9.234375, 33.0], [10.484375, 32.0], [11.578125, 31.0], [13.796875, 30.0], [15.15625, 29.0], [16.65625, 29.0], [18.0, 28.0], [19.015625, 27.0], [20.546875, 27.0], [21.6875, 26.0], [23.75, 26.0], [25.015625, 25.0], [26.0, 25.0], [28.59375, 25.0], [30.015625, 24.0], [33.859375, 23.0], [35.203125, 23.0], [37.5, 23.0], [38.828125, 22.0], [39.03125, 22.0], [41.5, 22.0], [42.921875, 22.0], [44.265625, 22.0], [317.421875, 432.0], [318.75, 429.0], [320.09375, 426.0], [325.625, 274.0], [331.09375, 215.0], [336.609375, 163.0]]",270.0,0.0
