325,335,345,355,5,15,25,35,45,direction,correction
72.0,82.0,0,390.0,422.0,357.0,0,133.0,164.0,0.0,0.0
71.0,96.0,0,406.0,422.0,360.0,0,132.0,163.0,359.0,0.0
73.0,83.0,0,417.0,419.0,357.0,0,133.0,161.0,0.02,0.0
72.0,82.0,0,408.0,420.0,341.0,0,132.0,163.0,355.0,0.0
71.0,0,0,0,419.0,355.0,0,133.0,161.0,1.0,0.0
69.0,0,0,393.0,422.0,357.0,0,133.0,162.0,14.4,0.0
71.0,96.0,0,0,422.0,360.0,0,133.0,164.0,1.54,0.0
0,36.0,0,0,404.0,413.0,368.0,183.0,145.0,0.0,0.0
0,33.0,0,0,394.0,410.0,370.0,176.0,145.0,1.0,0.0
0,36.0,0,0,419.0,406.0,368.0,183.0,145.0,359.2,0.0
0,0,0,0,394.0,410.0,366.0,0,145.0,358.4,0.0
0,33.0,0,0,398.0,403.0,367.0,0,147.0,15.0,0.0
0,33.0,0,0,392.0,410.0,366.0,187.0,146.0,350.0,10.0
0,33.0,0,0,0,404.0,368.0,177.0,145.0,355.0,5.0
0,0,0,0,420.0,406.0,368.0,0,145.0,0.6,0.0
0,0,0,0,413.0,405.0,367.0,183.0,145.0,1.3,0.0
21.0,22.0,23.0,26.0,29.0,0,0,0,398.0,0.0,50.0
21.0,22.0,23.0,26.0,28.0,0,0,0,0,2.0,48.0
21.0,22.0,23.0,25.0,26.0,0,0,0,389.0,315.0,45.0
21.0,22.0,23.0,26.0,26.0,0,0,0,0,330.0,75.0
21.0,22.0,23.0,25.0,26.0,0,0,0,389.0,350.0,55.0
21.0,22.0,23.0,26.0,26.0,0,0,0,0,45.0,0.0
21.0,22.0,23.0,26.0,28.0,0,0,0,0,44.3,0.0
21.0,22.0,23.0,26.0,26.0,0,0,0,396.0,10.0,35.0
21.0,22.0,23.0,26.0,26.0,0,0,0,396.0,352.54,53.0
21.0,22.0,23.0,26.0,26.0,0,0,0,396.0,17.0,30.0
274.0,211.0,163.0,0,0,29.0,26.0,24.0,22.0,0.0,-45.0
275.0,214.0,163.0,0,0,29.0,26.0,24.0,22.0,355.0,-50.0
275.0,275.0,164.0,0,0,30.0,26.0,23.0,22.0,359.0,-46.0
426.0,215.0,163.0,0,0,30.0,26.0,23.0,22.0,270.0,0.0
275.0,275.0,167.0,0,0,29.0,25.0,23.0,22.0,2.0,-47.0
423.0,275.0,164.0,0,0,30.0,26.0,24.0,22.0,356.0,-50.0
275.0,275.0,164.0,0,0,29.0,26.0,23.0,22.0,45.0,45.0
426.0,275.0,164.0,0,0,30.0,26.0,24.0,22.0,20.0,65.0
424.0,275.0,164.0,0,0,29.0,26.0,23.0,22.0,10.0,80.0
30.0,27.0,26.0,25.0,25.0,25.0,27.0,30.0,34.0,0.0,90.0
30.0,28.0,26.0,25.0,25.0,25.0,27.0,30.0,34.0,1.0,89.0
30.0,27.0,26.0,25.0,25.0,26.0,27.0,30.0,35.0,3.0,87.0
30.0,27.0,26.0,25.0,25.0,25.0,27.0,30.0,34.0,10.0,80.0
30.0,27.0,26.0,25.0,25.0,26.0,27.0,30.0,34.0,15.0,75.0
30.0,27.0,26.0,25.0,25.0,26.0,27.0,30.0,35.0,355.0,-95.0
30.0,27.0,26.0,25.0,25.0,26.0,27.0,30.0,35.0,350.0,-80.0
30.0,27.0,26.0,25.0,25.0,25.0,27.0,30.0,35.0,315.0,-45.0
30.0,27.0,26.0,25.0,25.0,26.0,27.0,30.0,35.0,354.6,-85.0
30.0,27.0,26.0,25.0,25.0,26.0,27.0,30.0,35.0,17.5,73.0
69.0,62.0,58.0,57.0,56.0,58.0,62.0,66.0,344.0,0.0,0.0
69.0,62.0,58.0,57.0,56.0,58.0,62.0,67.0,359.0,10.0,0.0
